year,ft_democratic_party,ft_republican_party,education
1994,40,70,Some College
1994,60,70,College Degree
1994,60,40,Some College
1994,50,50,High School
1994,97,40,8th Grade or Less
1994,70,30,High School
1994,40,70,College Degree
1994,60,70,High School
1994,60,60,High School
1994,50,70,Some High School
1994,70,15,High School
1994,50,50,Some College
1994,40,85,High School
1994,30,85,Some College
1994,0,15,High School
1994,85,15,College Degree
1994,50,50,College Degree
1994,0,0,Some High School
1994,70,60,Some College
1994,60,40,
1994,65,65,College Degree
1994,50,85,Some College
1994,97,97,Some College
1994,30,30,College Degree
1994,30,60,College Degree
1994,30,60,College Degree
1994,85,50,High School
1994,70,60,High School
1996,40,40,College Degree
1996,70,60,High School
1996,85,60,High School
1996,85,55,Some College
1996,50,60,College Degree
1996,50,50,Some College
1996,0,85,Some College
1996,85,60,Some High School
1996,70,70,High School
1996,40,70,Some College
1996,50,60,Some College
1996,30,70,High School
1996,90,10,High School
1996,70,70,High School
1996,40,85,High School
1996,70,50,Some College
1996,60,40,College Degree
1996,60,85,College Degree
1996,85,40,Some High School
1996,85,40,College Degree
1996,60,70,College Degree
1996,70,60,High School
1996,75,90,High School
1996,40,60,College Degree
1996,85,30,Some College
1996,97,40,High School
1996,40,60,High School
1996,97,90,8th Grade or Less
1996,97,0,Some College
1996,97,40,High School
1996,60,40,College Degree
1996,85,15,College Degree
1996,70,30,College Degree
1996,97,50,High School
1996,70,60,High School
1996,40,70,Some College
1996,60,70,High School
1996,40,40,Some High School
1996,97,15,Some High School
1996,70,70,Some College
1996,30,80,College Degree
1996,60,50,Some College
1996,50,50,High School
1996,97,0,Some High School
1996,,,College Degree
1996,50,10,8th Grade or Less
1996,60,30,College Degree
1996,60,30,College Degree
1996,60,40,College Degree
1996,70,0,College Degree
1996,97,0,High School
1996,0,97,High School
1996,60,97,High School
1996,60,60,High School
1996,0,97,Some College
1996,0,97,Some College
1996,25,75,Some College
1996,70,70,Some High School
1996,70,40,Some High School
1996,60,40,Some High School
1996,50,50,High School
1996,70,70,High School
1996,50,50,College Degree
1996,25,85,College Degree
1996,70,30,College Degree
1996,60,85,College Degree
1996,0,70,College Degree
1996,60,50,High School
1996,70,30,College Degree
1996,50,50,High School
1996,15,70,Some College
1996,70,60,Some College
1996,60,40,High School
1996,70,40,High School
1996,60,40,Some College
1996,50,60,Some College
1996,85,60,College Degree
1996,70,60,Some College
1996,30,60,High School
1996,60,40,College Degree
1996,85,15,High School
1996,60,50,High School
1996,60,30,Some College
1996,85,70,8th Grade or Less
1996,40,70,College Degree
1996,70,40,High School
1996,30,60,High School
1996,0,85,College Degree
1996,,,8th Grade or Less
1996,65,35,Some College
1996,60,50,Some College
1996,25,80,College Degree
1996,97,0,High School
1996,50,50,High School
1996,50,50,Some College
1996,40,60,Some College
1996,97,60,College Degree
1996,70,60,Some College
1996,70,30,Some College
1996,70,40,College Degree
1996,70,85,High School
1996,40,60,College Degree
1996,70,60,Some College
1996,70,30,Some High School
1996,85,50,High School
1996,,,Some High School
1996,97,30,Some College
1996,85,50,8th Grade or Less
1996,60,50,College Degree
1996,50,50,8th Grade or Less
1996,15,85,College Degree
1996,50,50,8th Grade or Less
1996,60,60,Some High School
1996,30,30,High School
1996,70,70,High School
1996,50,50,High School
1996,60,40,High School
1996,40,60,Some College
1996,0,70,High School
1996,70,70,Some College
1996,40,60,Some College
1996,40,85,High School
1996,0,97,High School
1996,85,40,College Degree
1996,40,70,High School
1996,60,70,Some High School
1996,85,15,College Degree
1996,50,50,High School
1996,85,15,High School
1996,65,80,Some High School
1996,85,20,High School
1996,70,60,High School
1996,97,40,Some High School
1996,85,40,College Degree
1996,70,50,8th Grade or Less
1996,70,30,High School
1996,97,0,Some High School
1996,97,97,High School
1996,85,15,College Degree
1996,60,30,High School
1996,85,70,College Degree
1996,0,70,College Degree
1996,50,50,College Degree
1996,,,8th Grade or Less
1996,85,85,High School
1996,60,50,High School
1996,60,50,High School
1996,85,85,High School
1996,50,50,Some High School
1996,85,60,High School
1996,60,50,College Degree
1996,0,0,College Degree
1996,65,60,College Degree
1996,60,50,College Degree
1996,40,70,College Degree
1996,60,40,College Degree
1996,50,70,College Degree
1996,85,15,Some College
1996,70,50,High School
1996,60,40,Some College
1996,50,50,Some High School
1996,,,8th Grade or Less
1996,30,85,College Degree
1996,75,10,College Degree
1996,97,0,8th Grade or Less
1996,85,50,High School
1996,30,70,College Degree
1996,50,50,High School
1996,30,85,College Degree
1996,50,50,High School
1996,60,60,College Degree
1996,85,70,Some College
1996,85,15,Some College
1996,40,60,College Degree
1996,97,60,High School
1996,40,70,High School
1996,30,70,Some College
1996,40,70,Some College
1996,70,60,Some College
1996,30,97,High School
1996,85,15,College Degree
1996,97,40,High School
1996,60,30,Some High School
1996,50,50,High School
1996,50,50,High School
1996,85,,High School
1996,15,60,Some College
1996,60,50,High School
1996,85,30,High School
1996,60,85,High School
1996,50,50,Some College
1996,85,15,College Degree
1996,0,85,Some High School
1996,50,50,Some College
1996,50,50,Some High School
1996,55,60,Some College
1996,55,55,College Degree
1996,0,97,College Degree
1996,30,60,Some College
1996,85,15,High School
1996,60,40,College Degree
1996,60,60,High School
1996,70,30,College Degree
1996,40,85,Some College
1996,85,0,Some High School
1996,70,50,Some College
1996,85,50,High School
1996,50,50,High School
1996,60,50,College Degree
1996,30,90,College Degree
1996,50,85,College Degree
1996,40,40,College Degree
1996,97,0,High School
1996,20,90,Some College
1996,40,60,Some College
1996,50,50,High School
1996,85,15,College Degree
1996,30,85,Some College
1996,50,,8th Grade or Less
1996,97,70,8th Grade or Less
1996,70,60,College Degree
1996,70,50,Some College
1996,85,60,Some College
1996,85,70,High School
1996,75,40,Some High School
1996,97,9,Some High School
1996,85,50,Some College
1996,85,50,High School
1996,60,,High School
1996,60,85,Some High School
1996,60,70,High School
1996,60,40,8th Grade or Less
1996,40,70,8th Grade or Less
1996,15,85,Some College
1996,0,70,Some College
1996,60,50,High School
1996,97,60,Some High School
1996,60,60,College Degree
1996,85,30,College Degree
1996,60,60,High School
1996,40,60,Some High School
1996,15,85,College Degree
1996,30,85,College Degree
1996,40,70,Some College
1996,70,70,Some High School
1996,40,60,Some College
1996,85,30,College Degree
1996,60,70,High School
1996,70,60,High School
1996,70,85,College Degree
1996,85,20,College Degree
1996,60,40,Some College
1996,97,40,High School
1996,60,50,Some College
1996,,,8th Grade or Less
1996,85,85,Some High School
1996,50,97,High School
1996,85,50,Some College
1996,85,60,High School
1996,85,50,High School
1996,60,70,Some College
1996,60,80,College Degree
1996,85,0,Some High School
1996,97,30,Some High School
1996,70,50,Some College
1996,15,85,College Degree
1996,15,85,College Degree
1996,85,30,Some High School
1996,70,60,Some College
1996,50,50,High School
1996,50,50,High School
1996,60,40,Some High School
1996,97,30,Some High School
1996,40,60,Some College
1996,70,40,College Degree
1996,97,50,8th Grade or Less
1996,97,70,Some High School
1996,70,70,Some High School
1996,97,85,Some High School
1996,50,60,High School
1996,,,8th Grade or Less
1996,70,15,High School
1996,30,85,College Degree
1996,85,60,High School
1996,60,40,Some College
1996,0,85,High School
1996,97,60,Some High School
1996,60,85,Some College
1996,60,50,Some High School
1996,70,15,High School
1996,97,30,8th Grade or Less
1996,97,30,High School
1996,40,70,Some College
1996,97,0,Some College
1996,40,40,High School
1996,30,97,College Degree
1996,70,85,High School
1996,50,40,College Degree
1996,30,60,College Degree
1996,40,40,High School
1996,75,70,College Degree
1996,70,40,8th Grade or Less
1996,50,50,Some High School
1996,97,15,Some High School
1996,70,40,Some College
1996,70,60,High School
1996,97,15,Some College
1996,60,15,Some College
1996,85,15,Some College
1996,70,40,Some College
1996,70,40,High School
1996,30,85,High School
1996,15,85,High School
1996,60,60,Some College
1996,40,70,College Degree
1996,75,40,College Degree
1996,40,60,Some College
1996,40,60,High School
1996,85,40,Some College
1996,60,0,Some College
1996,97,85,High School
1996,85,40,High School
1996,97,50,High School
1996,30,85,College Degree
1996,30,85,College Degree
1996,97,70,High School
1996,40,60,College Degree
1996,40,70,Some College
1996,70,70,Some High School
1996,30,85,Some College
1996,97,30,High School
1996,70,30,College Degree
1996,85,40,High School
1996,,,High School
1996,97,50,Some High School
1996,70,85,High School
1996,70,70,High School
1996,50,50,High School
1996,70,15,College Degree
1996,85,60,Some College
1996,15,85,High School
1996,50,50,Some High School
1996,97,40,8th Grade or Less
1996,85,60,College Degree
1996,50,70,College Degree
1996,0,70,Some High School
1996,,,8th Grade or Less
1996,60,50,8th Grade or Less
1996,40,60,High School
1996,85,40,College Degree
1996,40,40,Some High School
1996,30,85,High School
1996,50,50,Some High School
1996,70,85,Some College
1996,97,85,High School
1996,85,30,Some College
1996,70,50,High School
1996,40,60,Some College
1996,40,85,High School
1996,70,65,College Degree
1996,70,40,Some College
1996,60,40,College Degree
1996,30,70,College Degree
1996,50,50,High School
1996,50,85,High School
1996,85,40,Some College
1996,50,85,High School
1996,70,50,High School
1996,70,30,Some College
1996,30,40,College Degree
1996,0,70,High School
1996,,,8th Grade or Less
1996,40,60,High School
1996,60,50,8th Grade or Less
1996,85,85,High School
1996,40,85,High School
1996,97,97,8th Grade or Less
1996,60,70,Some College
1996,70,40,8th Grade or Less
1996,30,85,College Degree
1996,90,60,Some High School
1996,70,85,Some College
1996,60,,Some College
1996,15,70,College Degree
1996,50,85,Some College
1996,40,70,College Degree
1996,0,85,High School
1996,30,70,High School
1996,40,40,Some College
1996,60,40,Some College
1996,50,60,High School
1996,97,0,College Degree
1996,60,30,High School
1996,70,60,Some College
1996,60,30,Some College
1996,50,50,Some College
1996,70,60,College Degree
1996,60,15,Some College
1996,60,60,Some College
1996,70,40,Some College
1996,40,85,College Degree
1996,85,0,Some High School
1996,60,40,High School
1996,60,15,College Degree
1996,70,0,Some High School
1996,30,70,High School
1996,50,50,High School
1996,50,50,Some College
1996,85,45,Some College
1996,50,50,High School
1996,50,70,College Degree
1996,40,70,High School
1996,50,50,College Degree
1996,60,50,High School
1996,40,40,Some College
1996,97,30,High School
1996,65,20,College Degree
1996,50,70,Some High School
1996,70,30,College Degree
1996,50,70,College Degree
1996,0,85,College Degree
1996,30,60,College Degree
1996,30,70,High School
1996,85,70,High School
1996,70,60,Some College
1996,70,40,Some College
1996,70,70,College Degree
1996,40,60,College Degree
1996,0,97,Some College
1996,15,70,College Degree
1996,60,40,College Degree
1996,53,47,College Degree
1996,85,15,High School
1996,85,40,College Degree
1996,85,85,Some High School
1996,85,60,Some High School
1996,0,85,Some College
1996,40,70,College Degree
1996,60,85,8th Grade or Less
1996,70,70,High School
1996,60,40,High School
1996,50,50,College Degree
1996,,,Some High School
1996,70,70,College Degree
1996,50,50,High School
1996,97,70,Some College
1996,70,85,College Degree
1996,50,50,Some College
1996,85,0,College Degree
1996,30,70,College Degree
1996,15,60,Some College
1996,30,60,College Degree
1996,50,50,Some College
1996,30,97,College Degree
1996,40,0,Some College
1996,70,40,College Degree
1996,70,15,College Degree
1996,70,0,College Degree
1996,50,60,College Degree
1996,90,70,High School
1996,0,97,Some College
1996,30,70,College Degree
1996,60,40,High School
1996,85,40,College Degree
1996,60,60,College Degree
1996,97,0,Some College
1996,50,50,High School
1996,70,70,High School
1996,60,60,College Degree
1996,60,30,College Degree
1996,60,60,College Degree
1996,40,70,Some College
1996,70,30,College Degree
1996,40,70,Some High School
1996,60,70,Some High School
1996,85,60,College Degree
1996,70,90,Some College
1996,97,70,High School
1996,97,60,High School
1996,5,5,High School
1996,85,30,High School
1996,70,40,Some College
1996,40,70,Some College
1996,50,50,Some High School
1996,70,40,High School
1996,97,50,High School
1996,50,60,Some High School
1996,40,60,8th Grade or Less
1996,85,50,Some College
1996,70,40,High School
1996,40,70,High School
1996,97,50,8th Grade or Less
1996,15,85,College Degree
1996,85,15,Some College
1996,85,50,High School
1996,60,60,High School
1996,50,70,Some College
1996,70,60,College Degree
1996,85,30,Some College
1996,85,30,High School
1996,60,85,College Degree
1996,15,85,Some College
1996,30,15,College Degree
1996,60,60,Some College
1996,70,60,High School
1996,30,70,College Degree
1996,70,70,High School
1996,30,15,Some College
1996,25,80,Some College
1996,60,70,High School
1996,85,50,High School
1996,85,95,High School
1996,40,70,College Degree
1996,40,60,College Degree
1996,85,60,College Degree
1996,60,40,College Degree
1996,50,50,High School
1996,40,70,College Degree
1996,70,60,High School
1996,70,40,High School
1996,30,85,Some College
1996,85,85,High School
1996,50,50,High School
1996,85,50,Some High School
1996,50,50,High School
1996,50,50,High School
1996,60,70,Some College
1996,70,50,High School
1996,60,60,High School
1996,60,50,High School
1996,40,70,Some College
1996,0,0,Some College
1996,30,85,High School
1996,70,50,High School
1996,50,50,Some College
1996,70,60,College Degree
1996,50,70,Some High School
1996,85,40,High School
1996,70,45,Some College
1996,40,85,High School
1996,60,40,College Degree
1996,60,40,High School
1996,40,40,High School
1996,50,50,Some College
1996,85,60,High School
1996,50,60,High School
1996,40,40,College Degree
1996,85,15,High School
1996,60,40,Some College
1996,60,40,Some College
1996,60,30,Some High School
1996,85,15,Some High School
1996,60,40,High School
1996,50,60,8th Grade or Less
1996,60,50,Some High School
1996,85,60,Some High School
1996,50,50,High School
1996,85,60,High School
1996,40,60,Some College
1996,60,50,High School
1996,70,70,Some College
1996,70,50,High School
1996,30,85,College Degree
1996,97,85,High School
1996,15,85,High School
1996,70,40,College Degree
1996,40,15,College Degree
1996,85,50,Some College
1996,15,85,High School
1996,60,60,College Degree
1996,30,85,Some College
1996,85,0,Some College
1996,97,15,Some College
1996,85,0,College Degree
1996,0,97,College Degree
1996,70,60,College Degree
1996,60,60,College Degree
1996,60,40,College Degree
1996,60,70,High School
1996,70,30,College Degree
1996,60,0,High School
1996,60,85,Some College
1996,85,50,Some College
1996,70,85,Some College
1996,70,30,High School
1996,60,30,College Degree
1996,40,65,College Degree
1996,85,60,Some College
1996,60,50,High School
1996,60,70,High School
1996,60,70,College Degree
1996,70,40,College Degree
1996,90,10,College Degree
1996,65,15,College Degree
1996,40,70,Some High School
1996,60,60,Some College
1996,60,15,Some College
1996,,,8th Grade or Less
1996,45,40,College Degree
1996,70,30,College Degree
1996,60,50,High School
1996,70,50,High School
1996,30,85,High School
1996,0,97,8th Grade or Less
1996,60,60,High School
1996,60,40,Some College
1996,60,30,Some High School
1996,15,97,High School
1996,70,30,High School
1996,85,60,High School
1996,85,75,Some High School
1996,50,50,High School
1996,60,60,Some College
1996,60,,Some High School
1996,40,60,College Degree
1996,60,50,Some College
1996,40,60,College Degree
1996,30,60,College Degree
1996,70,60,Some High School
1996,70,40,High School
1996,0,60,High School
1996,70,30,Some College
1996,60,70,High School
1996,15,85,High School
1996,70,70,High School
1996,15,97,High School
1996,60,50,High School
1996,70,40,Some College
1996,30,40,College Degree
1996,60,0,High School
1996,70,85,Some High School
1996,40,60,Some High School
1996,50,50,High School
1996,97,0,High School
1996,50,60,College Degree
1996,40,70,College Degree
1996,70,40,Some College
1996,60,40,College Degree
1996,60,60,College Degree
1996,15,85,College Degree
1996,85,30,College Degree
1996,85,40,Some College
1996,70,70,High School
1996,15,60,High School
1996,60,40,8th Grade or Less
1996,15,97,College Degree
1996,85,50,College Degree
1996,,,Some College
1996,15,70,College Degree
1996,60,40,College Degree
1996,70,60,8th Grade or Less
1996,50,60,High School
1996,50,50,High School
1996,60,15,College Degree
1996,0,85,Some College
1996,30,70,College Degree
1996,60,60,College Degree
1996,15,70,High School
1996,50,50,High School
1996,50,50,High School
1996,60,50,Some College
1996,65,35,College Degree
1996,50,70,Some College
1996,50,85,High School
1996,40,70,Some College
1996,70,85,College Degree
1996,75,,8th Grade or Less
1996,85,60,College Degree
1996,97,15,High School
1996,70,30,College Degree
1996,70,80,Some College
1996,70,30,College Degree
1996,70,60,Some College
1996,30,70,Some College
1996,15,70,High School
1996,30,70,College Degree
1996,85,0,Some High School
1996,50,50,High School
1996,40,40,Some College
1996,70,30,College Degree
1996,15,80,College Degree
1996,60,60,High School
1996,85,30,Some High School
1996,60,30,Some High School
1996,30,85,8th Grade or Less
1996,40,85,Some High School
1996,70,15,College Degree
1996,70,15,College Degree
1996,97,50,High School
1996,85,0,Some College
1996,15,70,High School
1996,60,70,Some College
1996,70,30,High School
1996,30,70,Some College
1996,70,60,High School
1996,85,85,College Degree
1996,70,70,Some College
1996,50,60,High School
1996,15,15,College Degree
1996,85,0,High School
1996,20,60,College Degree
1996,30,60,High School
1996,50,50,High School
1996,85,70,High School
1996,50,60,Some High School
1996,60,40,Some College
1996,50,50,College Degree
1996,75,65,College Degree
1996,40,85,High School
1996,97,0,Some High School
1996,85,0,High School
1996,60,60,8th Grade or Less
1996,70,85,College Degree
1996,40,70,Some College
1996,15,60,College Degree
1996,50,50,College Degree
1996,0,80,Some College
1996,0,85,Some College
1996,30,30,College Degree
1996,70,80,College Degree
1996,40,60,College Degree
1996,85,40,High School
1996,40,70,College Degree
1996,70,40,College Degree
1996,50,50,College Degree
1996,35,65,College Degree
1996,40,85,High School
1996,97,30,High School
1996,50,60,High School
1996,97,0,8th Grade or Less
1996,85,15,High School
1996,60,40,Some College
1996,97,0,High School
1996,85,50,High School
1996,60,40,High School
1996,60,30,College Degree
1996,85,60,College Degree
1996,70,60,High School
1996,60,60,High School
1996,97,85,8th Grade or Less
1996,85,50,Some High School
1996,15,70,Some College
1996,40,40,Some College
1996,60,85,College Degree
1996,40,60,College Degree
1996,70,60,High School
1996,70,60,Some College
1996,97,40,High School
1996,60,60,College Degree
1996,50,50,College Degree
1996,50,70,High School
1996,40,10,College Degree
1996,85,60,Some College
1996,30,30,Some College
1996,40,85,College Degree
1996,70,85,High School
1996,40,90,High School
1996,0,97,College Degree
1996,70,70,High School
1996,97,0,College Degree
1996,65,60,College Degree
1996,70,60,College Degree
1996,30,70,College Degree
1996,45,55,College Degree
1996,40,60,College Degree
1996,85,15,High School
1996,0,70,Some College
1996,30,70,College Degree
1996,97,50,Some High School
1996,85,0,Some College
1996,60,40,College Degree
1996,60,60,High School
1996,40,30,High School
1996,70,70,Some High School
1996,60,60,Some College
1996,30,70,College Degree
1996,60,15,Some College
1996,70,60,College Degree
1996,70,15,Some College
1996,85,40,Some College
1996,60,60,Some College
1996,70,60,Some College
1996,70,50,Some College
1996,97,50,8th Grade or Less
1996,85,40,Some College
1996,70,30,High School
1996,97,50,8th Grade or Less
1996,85,30,High School
1996,85,60,Some College
1996,85,50,Some College
1996,85,15,College Degree
1996,0,0,Some College
1996,85,15,High School
1996,70,30,Some College
1996,97,50,High School
1996,60,30,High School
1996,50,70,High School
1996,97,50,8th Grade or Less
1996,70,40,8th Grade or Less
1996,15,97,College Degree
1996,,60,Some College
1996,70,15,High School
1996,85,40,College Degree
1996,97,60,High School
1996,70,60,College Degree
1996,50,50,Some High School
1996,60,40,College Degree
1996,85,60,High School
1996,70,50,College Degree
1996,50,50,College Degree
1996,55,60,Some College
1996,50,50,Some College
1996,50,60,College Degree
1996,60,60,College Degree
1996,60,45,High School
1996,50,85,Some College
1996,70,50,Some College
1996,60,70,High School
1996,50,50,High School
1996,78,48,College Degree
1996,85,30,Some College
1996,15,85,Some College
1996,40,40,Some College
1996,60,50,College Degree
1996,50,60,High School
1996,60,40,High School
1996,97,0,High School
1996,30,70,Some College
1996,40,60,High School
1996,50,50,High School
1996,40,60,High School
1996,70,60,Some College
1996,50,40,Some High School
1996,60,60,High School
1996,15,97,Some College
1996,,,High School
1996,55,60,College Degree
1996,50,50,8th Grade or Less
1996,70,50,High School
1996,40,60,Some College
1996,75,40,High School
1996,50,50,High School
1996,40,60,Some College
1996,,,Some College
1996,50,50,High School
1996,85,60,Some High School
1996,30,70,Some College
1996,20,75,High School
1996,15,85,High School
1996,85,30,College Degree
1996,50,50,High School
1996,15,85,Some College
1996,60,60,College Degree
1996,40,70,High School
1996,97,40,Some College
1996,50,50,8th Grade or Less
1996,25,60,Some College
1996,50,50,High School
1996,70,60,High School
1996,40,70,Some High School
1996,85,50,Some High School
1996,,,High School
1996,0,97,College Degree
1996,40,70,High School
1996,85,70,College Degree
1996,40,75,Some College
1996,60,55,Some College
1996,70,50,Some High School
1996,50,50,High School
1996,50,40,High School
1996,97,85,High School
1996,70,60,Some College
1996,50,50,Some High School
1996,30,70,High School
1996,50,50,High School
1996,40,85,College Degree
1996,85,70,College Degree
1996,15,85,High School
1996,85,70,High School
1996,40,60,College Degree
1996,97,97,Some High School
1996,60,70,College Degree
1996,60,85,Some High School
1996,85,40,8th Grade or Less
1996,30,97,High School
1996,30,50,High School
1996,60,50,High School
1996,60,60,College Degree
1996,60,60,College Degree
1996,40,70,College Degree
1996,40,70,Some College
1996,,,Some College
1996,85,70,Some High School
1996,60,50,Some College
1996,40,70,High School
1996,30,70,College Degree
1996,50,50,High School
1996,,,Some High School
1996,97,0,High School
1996,40,60,Some College
1996,50,50,Some College
1996,70,0,Some College
1996,70,60,Some College
1996,70,40,Some High School
1996,60,60,Some College
1996,70,15,High School
1996,60,70,Some High School
1996,0,85,High School
1996,70,50,Some High School
1996,0,30,High School
1996,70,70,High School
1996,0,97,Some High School
1996,0,85,High School
1996,97,30,High School
1996,50,50,Some College
1996,50,85,Some College
1996,97,30,College Degree
1996,50,85,Some High School
1996,60,40,College Degree
1996,85,50,High School
1996,70,60,Some College
1996,97,50,Some College
1996,70,50,High School
1996,60,15,Some College
1996,70,50,Some College
1996,50,60,Some College
1996,85,85,High School
1996,60,40,Some College
1996,60,50,High School
1996,70,60,High School
1996,70,40,High School
1996,85,40,High School
1996,70,50,High School
1996,15,85,College Degree
1996,60,40,College Degree
1996,60,50,College Degree
1996,40,60,Some College
1996,70,85,Some College
1996,60,70,College Degree
1996,50,50,College Degree
1996,40,60,College Degree
1996,40,50,College Degree
1996,85,0,Some College
1996,60,30,College Degree
1996,85,70,High School
1996,40,40,Some High School
1996,15,85,College Degree
1996,30,70,Some College
1996,0,85,High School
1996,40,60,High School
1996,85,70,Some High School
1996,70,70,Some College
1996,60,50,Some College
1996,50,50,High School
1996,85,60,Some College
1996,40,60,High School
1996,95,80,Some College
1996,85,30,High School
1996,60,50,Some College
1996,60,60,College Degree
1996,85,50,Some College
1996,97,70,High School
1996,97,40,High School
1996,60,60,College Degree
1996,70,30,College Degree
1996,40,15,
1996,97,50,High School
1996,,,Some High School
1996,30,70,High School
1996,70,50,High School
1996,40,60,Some College
1996,85,30,College Degree
1996,70,30,Some College
1996,70,30,High School
1996,60,40,College Degree
1996,60,70,High School
1996,30,70,Some College
1996,30,85,Some High School
1996,80,20,College Degree
1996,0,60,College Degree
1996,60,60,Some College
1996,40,60,College Degree
1996,70,30,College Degree
1996,50,60,Some College
1996,60,85,Some College
1996,40,40,College Degree
1996,85,40,Some College
1996,70,60,College Degree
1996,70,50,8th Grade or Less
1996,50,50,Some High School
1996,85,30,College Degree
1996,60,40,Some High School
1996,40,85,Some College
1996,70,70,High School
1996,97,0,Some College
1996,97,50,High School
1996,97,60,High School
1996,50,50,Some College
1996,70,40,Some High School
1996,70,70,Some College
1996,30,70,College Degree
1996,60,60,College Degree
1996,40,60,College Degree
1996,60,50,Some College
1996,30,85,Some College
1996,50,60,
1996,85,0,Some College
1996,75,55,Some College
1996,97,15,Some College
1996,70,85,Some College
1996,65,65,High School
1996,50,50,Some College
1996,50,60,8th Grade or Less
1996,40,60,High School
1996,70,15,College Degree
1996,40,85,Some College
1996,97,0,Some College
1996,60,40,High School
1996,10,60,High School
1996,70,30,High School
1996,35,65,College Degree
1996,70,60,Some College
1996,15,70,College Degree
1996,30,40,College Degree
1996,70,30,Some College
1996,85,15,Some College
1996,0,0,High School
1996,,,High School
1996,85,60,High School
1996,85,60,Some College
1996,85,30,Some College
1996,50,50,Some College
1996,55,35,College Degree
1996,50,50,High School
1996,50,50,College Degree
1996,85,30,College Degree
1996,70,60,Some College
1996,60,15,Some College
1996,97,50,High School
1996,15,85,Some College
1996,50,50,Some College
1996,50,70,High School
1996,30,85,College Degree
1996,97,0,Some High School
1996,70,90,Some College
1996,70,40,College Degree
1996,35,85,College Degree
1996,70,40,Some College
1996,30,60,High School
1996,40,70,High School
1996,0,85,High School
1996,60,0,College Degree
1996,70,50,College Degree
1996,70,0,High School
1996,97,30,8th Grade or Less
1996,50,50,Some College
1996,40,70,Some High School
1996,15,70,College Degree
1996,15,60,College Degree
1996,15,70,College Degree
1996,30,97,Some High School
1996,30,85,Some College
1996,85,70,College Degree
1996,40,70,High School
1996,,,8th Grade or Less
1996,40,60,College Degree
1996,70,70,College Degree
1996,97,0,High School
1996,60,60,College Degree
1996,60,70,Some College
1996,40,70,College Degree
1996,50,40,College Degree
1996,60,70,Some High School
1996,50,50,High School
1996,15,97,Some College
1996,60,50,College Degree
1996,30,97,College Degree
1996,15,70,College Degree
1996,15,85,College Degree
1996,40,85,Some College
1996,40,70,College Degree
1996,15,15,College Degree
1996,45,70,College Degree
1996,85,60,High School
1996,85,30,Some College
1996,70,50,Some High School
1996,85,15,High School
1996,40,70,College Degree
1996,40,70,High School
1996,50,60,College Degree
1996,60,70,Some College
1996,30,60,Some College
1996,30,30,High School
1996,45,45,College Degree
1996,70,15,Some College
1996,85,15,8th Grade or Less
1996,0,0,Some High School
1996,60,50,High School
1996,15,15,Some College
1996,60,85,High School
1996,85,60,Some College
1996,70,60,College Degree
1996,30,70,High School
1996,60,30,College Degree
1996,97,0,Some High School
1996,70,60,High School
1996,70,85,Some High School
1996,85,70,Some High School
1996,60,70,8th Grade or Less
1996,0,0,High School
1996,85,50,High School
1996,70,40,High School
1996,60,40,Some College
1996,85,50,High School
1996,85,60,Some High School
1996,75,50,High School
1996,0,97,Some College
1996,0,0,Some College
1996,97,0,High School
1996,85,0,Some College
1996,50,10,High School
1996,85,40,College Degree
1996,90,55,College Degree
1996,40,40,College Degree
1996,40,85,College Degree
1996,85,40,College Degree
1996,95,90,College Degree
1996,40,70,Some College
1996,97,30,Some High School
1996,70,0,Some College
1996,70,50,Some College
1996,40,60,College Degree
1996,50,50,College Degree
1996,85,60,Some High School
1996,97,97,Some High School
1996,97,0,High School
1996,85,60,High School
1996,60,40,High School
1996,60,50,College Degree
1996,70,30,Some College
1996,60,50,High School
1996,60,40,College Degree
1996,60,0,College Degree
1996,97,40,High School
1996,15,85,Some College
1996,48,30,College Degree
1996,97,15,8th Grade or Less
1996,97,70,High School
1996,60,70,Some High School
1996,,30,8th Grade or Less
1996,0,60,College Degree
1996,60,70,College Degree
1996,60,85,Some High School
1996,50,50,College Degree
1996,70,60,College Degree
1996,55,50,College Degree
1996,35,65,College Degree
1996,70,40,College Degree
1996,1,97,College Degree
1996,40,60,Some College
1996,85,60,College Degree
1996,30,70,College Degree
1996,85,50,Some College
1996,50,60,Some College
1996,70,40,College Degree
1996,70,60,Some College
1996,65,30,College Degree
1996,60,60,Some College
1996,60,40,Some College
1996,90,80,College Degree
1996,50,40,High School
1996,2,90,College Degree
1996,50,50,Some High School
1996,80,85,College Degree
1996,55,75,College Degree
1996,70,40,Some College
1996,40,85,College Degree
1996,35,70,College Degree
1996,97,0,Some College
1996,60,85,Some College
1996,30,55,College Degree
1996,85,30,Some College
1996,60,40,High School
1996,85,30,Some College
1996,65,10,Some College
1996,60,90,High School
1996,30,97,College Degree
1996,97,97,Some College
1996,,,High School
1996,70,60,High School
1996,40,60,High School
1996,50,50,College Degree
1996,15,85,College Degree
1996,60,0,College Degree
1996,50,50,Some College
1996,85,30,8th Grade or Less
1996,40,70,College Degree
1996,40,70,Some College
1996,60,40,High School
1996,15,50,High School
1996,70,70,High School
1996,60,85,College Degree
1996,50,50,Some College
1996,85,40,High School
1996,70,15,Some College
1996,85,15,Some College
1996,70,85,Some College
1996,85,15,High School
1996,15,85,College Degree
1996,70,85,Some College
1996,85,70,College Degree
1996,70,70,College Degree
1996,70,40,Some College
1996,60,70,Some College
